site_id,mgmt_ip,cf_Status
ST-1742,172.17.1.199,Active
ST-1754,172.17.1.51,Close
ST-1755,10.10.25.114,Active
ST-1804,10.10.28.102,Active
ST-1828,10.10.26.234,Active
ST-1832,172.17.1.152,Active
ST-1833,10.10.39.14,Active
ST-1834,10.10.30.186,Active
ST-1835,10.10.1.230,Active
ST-1846,10.10.27.74,Active
ST-1862,10.10.25.122,Active
ST-1882,10.10.22.202,Active
ST-1883,10.10.24.170,Active
ST-1891,10.10.27.98,Active
ST-1893,10.10.28.106,Active
ST-1894,10.10.29.22,Active
ST-1897,10.10.26.178,Active
ST-1913,10.10.26.186,Active
ST-1949,10.10.27.210,Active
ST-1952,10.10.27.90,Active
ST-1960,10.10.32.10,Active
ST-1961,10.10.28.110,Active
ST-1988,172.17.8.240,Active
ST-1992,10.10.27.82,Active
ST-1993,10.10.28.98,Active
ST-2002,10.10.36.66,Active
ST-2005,172.17.8.239,Active
ST-2006,10.10.7.74,Active
ST-2010,10.10.29.18,Active
ST-2017,172.17.7.149,Active
ST-2046,172.17.8.143,Active
ST-2061,10.10.31.226,Active
ST-2063,10.10.35.46,Active
ST-2078,10.10.30.190,Active
ST-2095,10.10.30.182,Active
ST-2098,10.10.29.30,Active
ST-2102,10.10.35.18,Active
ST-2104,10.10.30.210,Active
ST-2113,172.17.0.249,Active
ST-2114,10.10.30.206,Active
ST-2118,172.17.12.57,Active
ST-2127,10.10.31.246,Active
ST-2132,10.10.31.250,Active
ST-2135,172.17.7.13,Active
ST-2136,172.17.12.148,Active
ST-2137,10.10.33.218,Active
ST-2146,10.10.33.178,Active
ST-2161,172.17.12.34,Active
ST-2162,10.10.36.102,Active
ST-2164,172.17.0.120,Active
ST-2170,10.10.32.242,Active
ST-2172,10.10.32.14,Active
ST-2188,10.10.32.18,Active
ST-2189,172.17.1.54,Active
ST-2194,172.17.0.125,Active
ST-2209,172.17.0.127,Active
ST-2227,172.17.0.129,Active
ST-2228,172.17.12.198,Active
ST-2229,10.10.32.222,Active
ST-2230,10.10.31.98,Active
ST-2238,10.10.32.206,Active
ST-2239,10.10.36.106,Active
ST-2240,10.10.33.222,Active
ST-2244,10.10.35.42,Active
ST-2246,10.10.39.218,Active
ST-2248,172.17.0.130,Active
ST-2250,172.17.6.126,Active
ST-2257,10.10.15.26,Active
ST-2258,10.10.33.182,Active
ST-2271,10.10.33.198,Active
ST-2285,10.8.41.35,Active
ST-2287,10.10.37.178,Active
ST-2293,10.10.0.138,Active
ST-2310,10.10.37.230,Active
ST-2316,10.10.33.210,Active
ST-2317,10.10.33.194,Active
ST-2324,172.17.0.144,Active
ST-2326,10.10.33.174,Active
ST-2346,10.10.39.86,Active
ST-2361,172.17.0.150,Active
ST-2366,172.17.0.152,Active
ST-2368,10.10.7.214,Active
ST-2370,172.17.0.154,Active
ST-2372,10.10.30.178,Active
ST-2373,10.10.36.178,Active
ST-2374,172.17.0.211,Active
ST-2375,172.17.7.89,Active
ST-2383,10.10.36.182,Active
ST-2390,172.17.0.160,Active
ST-2391,10.10.3.54,Active
ST-2402,10.10.38.34,Active
ST-2411,10.10.38.166,Active
ST-2420,172.17.1.13,Active
ST-2423,172.17.0.168,Active
ST-2427,10.10.0.78,Active
ST-2428,172.17.12.68,Active
ST-2434,172.17.0.172,Active
ST-2437,10.8.41.187,Active
ST-2438,10.10.28.70,Active
ST-2448,10.8.41.198,Active
ST-2455,172.17.0.180,Active
ST-2458,172.17.13.171,Active
ST-2473,172.17.0.202,Active
ST-2484,172.17.1.132,Active
ST-2501,172.17.3.89,Active
ST-2502,10.10.38.146,Active
ST-2505,172.17.0.246,Active
ST-2506,172.17.1.36,Active
ST-2510,172.17.1.107,Active
ST-2511,172.17.0.207,Active
ST-2523,172.17.1.63,Active
ST-2529,10.8.42.29,Active
ST-2530,172.17.1.109,Active
ST-2535,10.10.39.90,Active
ST-2537,172.17.1.104,Active
ST-2538,172.17.2.91,Active
ST-2551,10.10.2.238,Active
ST-2556,172.17.1.186,Active
ST-2562,172.17.0.222,Active
ST-2572,172.17.1.62,Active
ST-2573,172.17.1.130,Active
ST-2575,172.17.8.146,Active
ST-2579,10.8.42.79,Active
ST-2590,10.8.42.90,Active
ST-2617,10.8.42.117,Active
ST-2618,172.17.0.190,Active
ST-2619,10.8.42.119,Active
ST-2620,172.17.1.108,Active
ST-2627,172.17.1.158,Active
ST-2628,172.17.2.243,Active
ST-2630,172.17.2.67,Active
ST-2631,172.17.1.127,Active
ST-2636,172.17.2.222,Active
ST-2641,172.17.7.223,Active
ST-2646,172.17.1.151,Active
ST-2669,172.17.8.225,Active
ST-2673,172.17.6.7,Active
ST-2680,172.17.1.110,Active
ST-2691,172.17.6.73,Active
ST-2711,172.17.2.77,Active
ST-2713,172.17.8.24,Active
ST-2722,172.17.12.60,Active
ST-2726,172.17.2.87,Active
ST-2733,172.17.1.184,Active
ST-2741,172.17.2.85,Active
ST-2742,172.17.2.88,Active
ST-2743,10.8.42.243,Active
ST-2744,172.17.3.243,Active
ST-2747,172.17.2.82,Active
ST-2748,172.17.3.90,Active
ST-2749,172.17.2.239,Active
ST-2754,172.17.2.75,Active
ST-2755,172.17.6.3,Active
ST-2767,172.17.13.33,Active
ST-2783,172.17.2.92,Active
ST-2785,172.17.7.62,Active
ST-2786,172.17.13.25,Active
ST-2788,172.17.2.86,Active
ST-2789,172.17.8.205,Active
ST-2790,172.17.6.244,Active
ST-2791,172.17.2.83,Active
ST-2801,10.8.43.51,Active
ST-2811,172.17.2.78,Active
ST-2812,172.17.3.230,Active
ST-2823,172.17.2.80,Active
ST-2827,172.17.2.141,Active
ST-2828,172.17.2.31,Active
ST-2830,172.17.2.142,Active
ST-2833,172.17.2.76,Active
ST-2839,172.17.3.28,Active
ST-2840,10.8.43.90,Active
ST-2846,172.17.3.27,Active
ST-2847,172.17.3.227,Active
ST-2848,172.17.3.254,Active
ST-2857,172.17.6.188,Active
ST-2858,172.17.2.56,Active
ST-2863,172.17.3.226,Active
ST-2864,172.17.12.103,Active
ST-2883,10.10.32.66,Active
ST-2899,172.17.2.206,Active
ST-2903,172.17.3.29,Active
ST-2907,172.17.6.118,Active
ST-2930,172.17.3.200,Active
ST-2937,172.17.6.124,Active
ST-2943,172.17.2.251,Active
ST-2951,172.17.3.103,Active
ST-2956,172.17.1.191,Active
ST-2966,172.17.6.72,Active
ST-2987,172.17.6.119,Active
ST-2990,172.17.13.168,Active
ST-2991,10.8.43.241,Active
ST-3002,10.8.44.2,Active
ST-3013,172.17.6.247,Active
ST-3018,172.17.13.172,Active
ST-3037,172.17.8.21,Active
ST-3039,172.17.7.148,Active
ST-3051,172.17.6.248,Active
ST-3054,172.17.3.229,Active
ST-3065,172.17.6.180,Active
ST-3067,172.17.6.71,Active
ST-3070,10.8.44.70,Active
ST-3077,172.17.6.122,Active
ST-3079,172.17.7.97,Active
ST-3080,10.8.44.80,Active
ST-3089,172.17.7.95,Active
ST-3104,172.17.6.29,Active
ST-3120,172.17.12.78,Active
ST-3121,172.17.13.160,Active
ST-3122,172.17.13.26,Active
ST-3126,172.17.6.127,Active
ST-3143,172.17.6.243,Active
ST-3144,172.17.6.75,Active
ST-3149,10.10.0.170,Active
ST-3155,10.8.44.155,Active
ST-3159,172.17.6.187,Active
ST-3164,172.17.6.30,Active
ST-3165,10.10.1.46,Active
ST-3176,172.17.7.94,Active
ST-3179,172.17.3.92,Active
ST-3189,172.17.13.177,Active
ST-3205,172.17.6.128,Active
ST-3206,172.17.6.246,Active
ST-3207,172.17.6.177,Active
ST-3212,172.17.7.145,Active
ST-3236,10.8.44.236,Active
ST-3237,172.17.8.78,Active
ST-3241,172.17.7.117,Active
ST-3249,10.8.44.249,Active
ST-3254,172.17.6.182,Active
ST-3255,172.17.7.147,Active
ST-3257,172.17.6.74,Active
ST-3275,10.10.0.90,Active
ST-3296,10.10.4.110,Active
ST-3305,172.17.7.96,Active
ST-3315,172.17.7.116,Active
ST-3318,172.17.7.61,Active
ST-3330,172.17.7.115,Active
ST-3331,172.17.6.181,Active
ST-3335,10.10.1.74,Active
ST-3336,172.17.8.54,Active
ST-3341,172.17.7.82,Active
ST-3345,172.17.7.64,Active
ST-3370,172.17.8.150,Active
ST-3374,172.17.7.173,Active
ST-3375,172.17.8.156,Active
ST-3388,172.17.7.143,Active
ST-3389,172.17.8.26,Active
ST-3394,172.17.8.83,Active
ST-3413,10.10.6.90,Active
ST-3422,10.10.9.182,Active
ST-3423,10.10.0.50,Active
ST-3424,172.17.7.144,Active
ST-3430,172.17.12.180,Active
ST-3453,172.17.8.53,Active
ST-3469,172.17.8.77,Active
ST-3470,172.17.7.246,Active
ST-3473,172.17.7.248,Active
ST-3474,172.17.8.79,Active
ST-3475,10.10.35.54,Active
ST-3476,172.17.13.28,Active
ST-3477,172.17.8.81,Active
ST-3486,10.10.23.10,Active
ST-3488,172.17.8.159,Active
ST-3492,172.17.8.38,Active
ST-3493,172.17.12.188,Active
ST-3494,172.17.7.247,Active
ST-3502,172.17.8.193,Active
ST-3542,10.10.38.94,Active
ST-3557,10.8.46.57,Active
ST-3559,10.10.1.162,Active
ST-3608,172.17.8.40,Active
ST-3609,172.17.8.80,Active
ST-3627,172.17.8.82,Active
ST-3629,10.10.0.2,Active
ST-3634,10.8.46.134,Active
ST-3642,172.17.13.183,Active
ST-3654,172.17.12.243,Active
ST-3655,10.8.46.155,Active
ST-3659,172.17.12.44,Active
ST-3660,172.17.12.249,Active
ST-3666,172.17.8.76,Active
ST-3683,172.17.8.253,Active
ST-3698,172.17.8.158,Active
ST-3704,10.10.39.34,Active
ST-3737,10.10.26.182,Active
ST-3738,10.10.25.98,Active
ST-3782,10.8.47.32,Active
ST-3795,10.10.0.94,Active
ST-3829,10.10.1.242,Active
ST-3841,10.10.25.226,Active
